ID,Business,Street Address,City,State,ZIP,Latitude,Longitude,Type of Installation,Georeference
646,"Cumberland Farms, Inc.",4394 Boston Post Rd,Pelham Manor,NY,10803,40.890908,-73.81746,Transfer Switch Only,POINT (-73.81746 40.890908)
893,Onder Realty Inc.,1490 Islip Avenue,Brentwood,NY,11717,40.777026,-73.215785,Transfer Switch Only,POINT (-73.215785 40.777026)
70,Astoria Fuel & Convenience Store Inc,30-02 Astoria Blvd,Astoria,NY,11102,40.770129,-73.919043,Permanent Generator,POINT (-73.919043 40.770129)
810,IHI Trucking,297 Robbins Lane,Syosset,NY,11791,40.798362,-73.516235,Transfer Switch Only,POINT (-73.516235 40.798362)
630,"Cumberland Farms, Inc.",466 Rockaway Tpk,Cedarhurst,NY,11516,40.628395,-73.736835,Transfer Switch Only,POINT (-73.736835 40.628395)
366,BP Products North America Inc.,205-33 Hollis Avenue,Queens,NY,11412,40.707534,-73.751659,Transfer Switch Only,POINT (-73.751659 40.707534)
139,R & A Petroleum Corp,272 E Jericho Typke,Huntington Station,NY,11746,40.828858,-73.399785,Permanent Generator,POINT (-73.399785 40.828858)
761,"East River Petroleum Realty, Llc",84-04 Parsons Boulevard,Queens,NY,11432,40.71396,-73.8076,Transfer Switch Only,POINT (-73.8076 40.71396)
102,PMG Northeast LLC,819 W Jericho Tpke,Smithtown,NY,11787,40.847663,-73.234996,Permanent Generator,POINT (-73.234996 40.847663)
480,Costco Wholesale Corporation,50 Overlook Road,Nanuet,NY,10954,41.107546,-74.025473,Transfer Switch Only,POINT (-74.025473 41.107546)
348,BP Products North America Inc.,8914 Ditmas Avenue,Brooklyn,NY,11236,40.647903,-73.914809,Transfer Switch Only,POINT (-73.914809 40.647903)
847,Global Montello Group Corp.,69 Pascach Road,Nanuet,NY,10954,41.101769,-74.033381,Transfer Switch Only,POINT (-74.033381 41.101769)
910,Delta Food Mart Inc.,109-113 Bronx River Rd,yonkers,NY,10704,40.904947,-73.859028,Transfer Switch Only,POINT (-73.859028 40.904947)
334,BP Products North America Inc.,4068 3rd Avenue,Bronx,NY,10457,40.843424,-73.897542,Transfer Switch Only,POINT (-73.897542 40.843424)
629,"Cumberland Farms, Inc.",1214 Grand Avenue,Baldwin,NY,11510,40.68068,-73.615308,Transfer Switch Only,POINT (-73.615308 40.68068)
250,Hess Corporation,2451 Nesconset Highway,Stony Brook,NY,11790,40.877392,-73.118227,Transfer Switch Only,POINT (-73.118227 40.877392)
894,S&M Service Station Corporation,296 Mclean Av,Yonkers,NY,10705,40.910645,-73.889221,Transfer Switch Only,POINT (-73.889221 40.910645)
519,East End Marketing,210 Greenwich St,Hempstead,NY,11550,40.700535,-73.617219,Transfer Switch Only,POINT (-73.617219 40.700535)
963,Z.S.L. Inc,318 Merrick Road,Amityville,NY,11701,40.669367,-73.409408,Transfer Switch and Generator,POINT (-73.409408 40.669367)
469,"Sunoco, Inc. (R+M)",3650 Lee Blvd,Jefferson Valley,NY,10535,41.331467,-73.80954,Transfer Switch Only,POINT (-73.80954 41.331467)
235,Hess Corporation,540 Old Country Road,Hicksville,NY,11801,40.75748,-73.546674,Transfer Switch Only,POINT (-73.546674 40.75748)
942,Lakeview Woodfield Inc.,688 Woodfield Road,Lake View,NY,11552,40.686145,-73.652769,Transfer Switch and Generator,POINT (-73.652769 40.686145)
1,MPW Enterprises LLC,14 North Airmont Road,Suffern,NY,10901,41.11475,-74.11423333,Permanent Generator,POINT (-74.11423333 41.11475)
778,"Hudson Petroleum Realty, LLC",2955 Cropsey Avenue,Brooklyn,NY,11214,40.582883,-73.985927,Transfer Switch Only,POINT (-73.985927 40.582883)
556,Bill Wolf Petroleum Maintenance LLC,34-17 Northern Boulevard,Queens,NY,11101,40.752317,-73.929607,Transfer Switch Only,POINT (-73.929607 40.752317)
667,"Cumberland Farms, Inc.",1194 Portion Road,Holtsville,NY,11742,40.835714,-73.053254,Transfer Switch Only,POINT (-73.053254 40.835714)
89,Genesis Petroleum Inc.,199 East Sunrise Highway,Freeport,NY,11520,40.657742,-73.573991,Permanent Generator,POINT (-73.573991 40.657742)
482,BK Gas Corp,30 Mount Vernon Avenue,Mount Vernon,NY,10550,40.910963,-73.845426,Transfer Switch Only,POINT (-73.845426 40.910963)
353,BP Products North America Inc.,60-11 Queens Boulevard,Queens,NY,11377,40.741903,-73.904062,Transfer Switch Only,POINT (-73.904062 40.741903)
409,Bolla Operating LI Corp,2475 Hempstead Tpk,East Meadow,NY,11554,40.724899,-73.543599,Transfer Switch Only,POINT (-73.543599 40.724899)
978,Bolla Operating Corp.,1935 Linden Blv,Brooklyn,NY,11207,40.658718,-73.89134,Transfer Switch Only,POINT (-73.89134 40.658718)
171,AS&R Petroleum Inc.,5914 Riverdale Avenue,Bronx,NY,10471,40.907467,-73.903739,Transfer Switch Only,POINT (-73.903739 40.907467)
524,R.S.V. S/S INC.,164 Willis Avenue,Bronx,NY,10454,40.80724,-73.923779,Transfer Switch Only,POINT (-73.923779 40.80724)
583,"Cumberland Farms, Inc.",1490 Fifth Av Spur Dr South,Bay Shore,NY,11706,40.747595,-73.264157,Transfer Switch Only,POINT (-73.264157 40.747595)
763,"East River Petroleum Realty, Llc",133-11 Roosevelt Avenue,Queens,NY,11354,40.75863,-73.834,Transfer Switch Only,POINT (-73.834 40.75863)
